Category,Sub Category,Ward Name
Indira Canteen,Food Quality,Sarakki
Electrical,Park Lights Not Working,Shakthiganapathi Nagar
Revenue Department,Discrepancy In Khata Certificate and Khata Extract,Ullalu
Indira Canteen,Others,Gandhi Nagar
Water Crisis,Water related issue,Ullalu
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,Konena Agrahara
veterinary,Stray/Rabid dog bite,Gayathri Nagar
Projects Central,Potholes,Azad Nagar
Lakes,Dumping of garbage into lake,Vignana Nagar
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,Lakkasandra
veterinary,Street dogs attacking-pet Dogs,Kodigehalli
Parks and Play grounds,Play Grounds,Benniganahalli
E khata / Khata services,Ekhata - name correction,Vasanthapura
E khata / Khata services,Ekhata Area Correction,Hoysala Nagar
Road Maintenance(Engg),Debris Removal / Construction Material,Garudacharpalya
Electrical,Requirement For New Street Lights,Mathikere
Road Maintenance(Engg),UnAuthorised Constructions,Singasandra
Road Infrastructure,Road Infrastructure,Gangenahalli
Health Dept,Dengue positive,Konanakunte
Town Planning,Noise during Building Construction,Byatarayanapura
Town Planning,Noise during Building Construction,Radhakrishna Temple
Lakes,Dumping of garbage into lake,C.V.Raman Nagar
Solid Waste (Garbage) Related,Dead animal(s),Hongasandra
E khata / Khata services,Technical Issue In Ekhata,Uttarahalli
Property Tax services,Issues in property tax portal,Rajarajeshwari Nagar
Indira Canteen,Food Quantity,Banaswadi
veterinary,Mutton/Chicken/fish stall Unhygienic maintenance,Azad Nagar
Solid Waste (Garbage) Related,Complaint against SW collector/ SWM official for violation of SWM Rules,Bapuji Nagar
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Deepanjali Nagar
veterinary,Animal Cruelty/Ill-Treated / Abused,Vidyapeetha
Advertisement,Flex and banners,Mangammanapalya
Road Maintenance(Engg),Road side drains,Govindraja Nagara
veterinary,Aged street dogs please take action,Laggere
Road Maintenance(Engg),Debris Removal / Construction Material,Ulsoor
veterinary,Request for New feeder Points,Arakere
E khata / Khata services,ekhata approval pending with ARO,Marathalli
Revenue Department,Khata Services (Registration, Transfer, Bifurcation and Amalgamation),Dodda Bidarkallu
E khata / Khata services,Ekhata Area Correction,Basavanapura
Advertisement,Flex and banners,Moodalapalya
E khata / Khata services,Khata / Ekhata mutation / transfer,Dharmarayaswamy Temple Ward
Health Dept,Air/Noise pollution,Nandini Layout
E khata / Khata services,Technical Issue In Ekhata,Bilekahalli
Electrical,Street Lights Switched On During Day Time,Sudduguntepalya
Road Maintenance(Engg),Road side drains,Sagayapuram
E khata / Khata services,Other Khata / ekhata issues,Hosakerehalli
E khata / Khata services,Technical Issue In Ekhata,A.Narayanapura
E khata / Khata services,ekhata approval pending with ARO,Ejipura
Solid Waste (Garbage) Related,Garbage nuisance while transporting,BTM Layout
Parks and Play grounds,Gym/Children Play equipment in the parks,Hanumantha Nagar
Advertisement,Unsafe Hoardings,Basaveshwara Nagar
Road Maintenance(Engg),water leakage on road,Hongasandra
Health Dept,Increase in mosquito density,Hongasandra
veterinary,Animal birth control/neutering of stray dogs,Kamakshipalya
veterinary,Stray/Rabid dog bite,Sudduguntepalya
Electrical,Earthing Issue relate to Electric Poles/Panel Boards,Sudam Nagar
veterinary,Animal Rescue - Not well - Requires attention,Azad Nagar
Electrical,Park Lights Not Working,Chikpete
Advertisement,Flex and banners,Hosahalli
Estate,Encroachment,Vasanthapura
Electrical,Earthing Issue relate to Electric Poles/Panel Boards,Someshwara
veterinary,Stray cattle related complaints,Dr.Rajkumar Ward
Town Planning,Noise during Building Construction,Kuvempu Nagar
Lakes,Dumping of garbage into lake,Hanumantha Nagar
veterinary,Animal Cruelty/Ill-Treated / Abused,Lingarajapuram
Solid Waste (Garbage) Related,Segregation of waste is not done,Kodigehalli
Road Maintenance(Engg),Road side drains,Shakthiganapathi Nagar
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,Newthippasandra
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,Sunkenahalli
Solid Waste (Garbage) Related,Garbage nuisance while transporting,Laggere
Sanitation,Urination in Public/Open Defecation,Jayangar
veterinary,Dog bite pet dog,Kuvempu Nagar
Advertisement,Flex and banners,Marenahalli
Road Maintenance(Engg),footpath encroachment,Ullalu
Health Dept,Zonal Violation of the Building,Jnanabharathi Ward
Solid Waste (Garbage) Related,Sweeping not done,Hongasandra
Optical Fiber Cables (OFC),Without permission digging of road,Sudam Nagar
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,Yelahanka old Satellite Town
veterinary,Animal Cruelty/Ill-Treated / Abused,Puttenahalli
Sanitation,Public toilet(s) blockage,Visvesvarapuram
Health Dept,Zonal Violation of the Building,Nagapura
Sanitation,Urination in Public/Open Defecation,Gandhi Nagar
Town Planning,UnAuthorised Building Constructions,Nagapura
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,Visvesvarapuram
Road Maintenance(Engg),Road side drains,Aramane Nagar
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Puttenahalli
Road Maintenance(Engg),Overhanging cables,Doddanekkundi
Indira Canteen,Others,Bagalagunte
Solid Waste (Garbage) Related,Dead animal(s),Nayandanahalli
Water Crisis,Water related issue,Kadugondanahalli
veterinary,Animal Cruelty/Relocated,Dharmarayaswamy Temple Ward
E khata / Khata services,ekhata approval pending with ARO,Dodda Bidarkallu
Sanitation,Urination in Public/Open Defecation,Kadugodi
Property Tax services,Property tax refund / adjustment,Singasandra
Property Tax services,Property tax refund / adjustment,Begur
E khata / Khata services,Ekhata Area Correction,Mallasandra
Water Crisis,Water related issue,Mahalakshmipuram
and create your katha page.,Lokamatha /RO,,
Solid Waste (Garbage) Related,Garbage dump,Rayapuram
Town Planning,UnAuthorised Building Constructions,Radhakrishna Temple
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Katriguppe
E khata / Khata services,Ekhata Area Correction,Shettyhalli
veterinary,Animal birth control/neutering of stray dogs,Yadiyuru
Parks and Play grounds,Gym/Children Play equipment in the parks,Hagadooru
Road Maintenance(Engg),Debris Removal / Construction Material,Vijay Nagar
Electrical,Open Electrical Junction Box,Jaraganahalli
Others,Others,Laggere
E khata / Khata services,Khata / Ekhata mutation / transfer,Begur
E khata / Khata services,Ekhata Area Correction,Garudacharpalya
Advertisement,Unsafe Hoardings,Attiguppe
E khata / Khata services,Khata / Ekhata mutation / transfer,H.M.T
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,Azad Nagar
E khata / Khata services,Ekhata Other corrections,Shettyhalli
veterinary,Animal birth control/neutering of stray dogs,Chokkasandra
E khata / Khata services,ekhata approval pending with ARO,K.R.Puram
Road Maintenance(Engg),Road cutting,Sarakki
E khata / Khata services,Other Khata / ekhata issues,Benniganahalli
veterinary,Stray cattle related complaints,Shankaramata
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,Gurappanapalya
veterinary,Animal birth control/neutering of stray dogs,Kadugondanahalli
E khata / Khata services,Ekhata missing in online,Pattabhiram Nagar
veterinary,Feeder Harassment by Association / Gated Community,Arakere
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,Kamakshipalya
Sanitation,No water supply in public toilet(s),Bagalagunte
Solid Waste (Garbage) Related,Garbage nuisance while transporting,Kodigehalli
Storm  Water Drain(SWD),Garbage thrown in storm water drain,Kempegowda Ward
veterinary,Dog, cat Poor conditions / Breeding license validation,Mahalakshmipuram
Health Dept,Fogging,Varthur
Electrical,Street Lights Switched On During Day Time,Kavalbyrasandra
Electrical,Open Electrical Junction Box,Pulikeshi Nagar
Electrical,Street Lights Switched On During Day Time,Maruthi Seva Nagar
Road Maintenance(Engg),Road cutting,Nagavara
Health Dept,Increase in mosquito density,Devasandra
Sanitation,Urination in Public/Open Defecation,Shettyhalli
Parks and Play grounds,Issues Related to Parks/Medians/Circles/Island.,Kaveripura
Road Maintenance(Engg),Footpath,Chikpete
Health Dept,Unhygienic premises in Hotel etc,Kacharakanahalli
veterinary,Stray/Rabid dog bite,Sarakki
Storm  Water Drain(SWD),Sewerage water left in SWD,Bagalagunte
Electrical,Park Lights Not Working,Attiguppe
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,Doddanekkundi
veterinary,Mutton/Chicken/fish stall Unhygienic maintenance,HSR Layout
Lakes,Lake fencing damaged,HAL Airport
Health Dept,Air/Noise pollution,Chikpete
veterinary,Anti Rabies Vaccination of stray dogs,Ullalu
Lakes,Insufficient lake security personnel,Vignana Nagar
Health Dept,Spraying,Newthippasandra
Solid Waste (Garbage) Related,Sweeping not done,Bapuji Nagar
E khata / Khata services,Do not issue ekhata,Binnipet
veterinary,Stray/Rabid dog bite,Kushal Nagar
E khata / Khata services,Ekhata missing in online,Ganeshmandira Ward
E khata / Khata services,ekhata approval pending with ARO,Sanjay Nagar
E khata / Khata services,Technical Issue In Ekhata,Kacharakanahalli
Revenue Department,Unable to Generate the receipt after property tax payment.,Begur
E khata / Khata services,Ekhata Area Correction,Vasanthapura
Health Dept,Birth & Death Registration,Puttenahalli
Revenue Department,Discrepancy In Khata Certificate and Khata Extract,Katriguppe
veterinary,Stray dog related complaints,H.M.T
Solid Waste (Garbage) Related,Dead animal(s),T-Dasarahalli
Solid Waste (Garbage) Related,Complaint against SW collector/ SWM official for violation of SWM Rules,Hanumantha Nagar
veterinary,Stray/Rabid dog bite,Giri Nagar
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Marenahalli
E khata / Khata services,Ekhata - name correction,Arakere
Health Dept,Spraying,Sarakki
Parks and Play grounds,Gym/Children Play equipment in the parks,Kodigehalli
Road Maintenance(Engg),footpath encroachment,Begur
E khata / Khata services,eKhata - name Mismatch,Arakere
E khata / Khata services,Ekhata Other corrections,Newthippasandra
E khata / Khata services,Ekhata missing in online,Vishwanathnagenahalli
Health Dept,Dengue positive,Vijay Nagar
Health Dept,Dengue positive,T-Dasarahalli
Road Maintenance(Engg),water leakage on road,Banashankari Temple Ward
Health Dept,Delay in issue of Trade licence,Benniganahalli
E khata / Khata services,Ekhata missing in online,Bagalagunte
veterinary,Dog, cat Poor conditions / Breeding license validation,Sarakki
Health Dept,Fogging,Kaveripura
E khata / Khata services,Ekhata Area Correction,Chamrajpet
E khata / Khata services,eKhata - name Mismatch,Bommanahalli
E khata / Khata services,Ekhata Other corrections,Jalahalli
E khata / Khata services,Ekhata Area Correction,BTM Layout
E khata / Khata services,ekhata approval pending with ARO,Vidyapeetha
Property Tax services,Issues in property tax portal,Dharmarayaswamy Temple Ward
Solid Waste (Garbage) Related,Dead animal(s),Rajamahal
Property Tax services,Property tax owner name not updated,Singasandra
Electrical,Requirement For New Street Lights,Peenya Industrial Area
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Marappana Palya
Revenue Department,Unable to Generate the receipt after property tax payment.,Vignana Nagar
Revenue Department,Discrepancy In Khata Certificate and Khata Extract,Shanthala Nagar
veterinary,Animal birth control/neutering of stray dogs,Vishwanathnagenahalli
E khata / Khata services,Other Khata / ekhata issues,Sudduguntepalya
Advertisement,Flex and banners,Ganeshmandira Ward
veterinary,Dog, cat Poor conditions / Breeding license validation,Kottigepalya
E khata / Khata services,Ekhata - name correction,Basavanapura
veterinary,Stray/Rabid dog bite,Subramanya Nagar
veterinary,Animal Rescue - Not well - Requires attention,Kavalbyrasandra
veterinary,Fatally injured - Needs immediate attention,J.P.Nagar
E khata / Khata services,Ekhata missing in online,Azad Nagar
Town Planning,UnAuthorised Building Constructions,Bagalagunte
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,Sanjay Nagar
E khata / Khata services,Ekhata in previous owner name,Hagadooru
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Shanthi Nagar
E khata / Khata services,Ekhata in previous owner name,Ramamurthy Nagar
veterinary,Animal Cruelty/Ill-Treated / Abused,Vasanthapura
Forest,Issues related Snakes/Birds/Monkeys,Hosahalli
E khata / Khata services,Ekhata - name correction,Sunkenahalli
Road Maintenance(Engg),UnAuthorised Constructions,Sagayapuram
E khata / Khata services,Technical Issue In Ekhata,Kammanahalli
Health Dept,Air/Noise pollution,Bagalagunte
Road Maintenance(Engg),Overhanging cables,Sunkenahalli
E khata / Khata services,new Khata / Ekhata registration / creation,Basavanapura
E khata / Khata services,ekhata approval pending with ARO,Shettyhalli
Road Maintenance(Engg),Overhanging cables,Sri Rammandira
Electrical,Earthing Issue relate to Electric Poles/Panel Boards,Basavanapura
E khata / Khata services,Ekhata Other corrections,Pulikeshi Nagar
veterinary,Animal birth control/neutering of stray dogs,Pulikeshi Nagar
E khata / Khata services,Ekhata Other corrections,HBR Layout
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,Jalahalli
Forest,Issues related Snakes/Birds/Monkeys,Koramangala
veterinary,Anti Rabies Vaccination of stray dogs,H.M.T
Water Crisis,Water related issue,Kottigepalya
Advertisement,Flex and banners,Dr.Rajkumar Ward
Solid Waste (Garbage) Related,Dead animal(s),Sagayapuram
Revenue Department,Others (JC),Someshwara
Road Maintenance(Engg),Road cutting,Basavanapura
Forest,obstructions Branches / Trees.,HAL Airport
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,Shettyhalli
Road Maintenance(Engg),Debris Removal / Construction Material,Muneshwara Nagar
Others,Others,Rayapuram
Road Maintenance(Engg),Road side drains,Ramaswamy Palya
Revenue Department,Khata Services (Registration, Transfer, Bifurcation and Amalgamation),Sarvagna Nagar
Health Dept,Zonal Violation of the Building,Kottigepalya
Health Dept,Delay in issue of Trade licence,Kottigepalya
veterinary,shifting of the street dogs to other places,Anjanapur
Electrical,Park Lights Not Working,Basavanagudi
Water Crisis,Water related issue,Hebbal
E khata / Khata services,Technical Issue In Ekhata,Doddanekkundi
Advertisement,Flex and banners,Vijay Nagar
E khata / Khata services,Ekhata Other corrections,Kadugodi
E khata / Khata services,Ekhata in previous owner name,HSR Layout
veterinary,Stray/Rabid dog bite,Hosahalli
veterinary,Animal Rescue - Not well - Requires attention,Subedarapalya
E khata / Khata services,Ekhata Area Correction,Jayachamarajendra Nagar
Property Tax services,Unable to generate receipt after property tax payment,Bellandur
E khata / Khata services,ekhata approval pending with ARO,Mathikere
E khata / Khata services,Ekhata - name correction,Lakshmidevi Nagar
Advertisement,Flex and banners,Gangenahalli
E khata / Khata services,Ekhata - name correction,Hosakerehalli
Revenue Department,Discrepancy In Khata Certificate and Khata Extract,HSR Layout
Property Tax services,unable to generate property tax challan,Jeevanbhima Nagar
E khata / Khata services,Ekhata missing in online,Hegganahalli
veterinary,Mutton/Chicken/fish stall Unhygienic maintenance,Mahalakshmipuram
E khata / Khata services,Ekhata Area Correction,Gayathri Nagar
veterinary,Stray/Rabid dog bite,Dharmarayaswamy Temple Ward
Town Planning,Construction not done as per approved plan (Building Bye Law Violations),K.R.Market
Storm  Water Drain(SWD),Maintenance of SWD,Bharathi Nagar
Water Crisis,Water related issue,Shanthi Nagar
E khata / Khata services,Other Khata / ekhata issues,Mathikere
Markets,Trade License,Kottigepalya
Health Dept,Indira Canteen,Kavalbyrasandra
Road Maintenance(Engg),Road cutting,Nagapura
E khata / Khata services,Ekhata in previous owner name,Laggere
Road Maintenance(Engg),footpath encroachment,Banashankari Temple Ward
veterinary,Stray cattle related complaints,Doddanekkundi
Advertisement,Unsafe Hoardings,Gangenahalli
veterinary,Stray dog related complaints,Katriguppe
Property Tax services,Unable to generate receipt after property tax payment,Ramamurthy Nagar
E khata / Khata services,Other Khata / ekhata issues,Jeevanbhima Nagar
E khata / Khata services,Ekhata - name correction,Pattabhiram Nagar
Revenue Department,Others (JC),Mangammanapalya
veterinary,Dog, cat Poor conditions / Breeding license validation,Nagarabhavi
E khata / Khata services,Ekhata Other corrections,Kacharakanahalli
E khata / Khata services,Ekhata Area Correction,Kadugodi
E khata / Khata services,Ekhata - name correction,Nagapura
Sanitation,Urination in Public/Open Defecation,Basaveshwara Nagar
Advertisement,Flex and banners,Hegganahalli
Optical Fiber Cables (OFC),Without permission digging of road,Yelachenahalli
Solid Waste (Garbage) Related,Public dustbins not cleaned,Malleshwaram
Advertisement,Flex and banners,Agrahara Dasarahalli
E khata / Khata services,Ekhata missing in online,Radhakrishna Temple
Health Dept,Increase in mosquito density,Sudam Nagar
E khata / Khata services,ekhata approval pending with ARO,Dharmarayaswamy Temple Ward
Solid Waste (Garbage) Related,Garbage nuisance while transporting,Sarakki
Town Planning,UnAuthorised Building Constructions,Rajagopala Nagar
E khata / Khata services,Ekhata Other corrections,Varthur
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,Jeevanbhima Nagar
veterinary,Stray cattle related complaints,Rajarajeshwari Nagar
Health Dept,Fogging,Nayandanahalli
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,Mangammanapalya
Road Maintenance(Engg),UnAuthorised Constructions,Gottigere
Road Infrastructure,Road Infrastructure,Jakkasandra
Health Dept,Air/Noise pollution,Kempegowda Ward
Health Dept,Increase in mosquito density,Kempegowda Ward
Forest,Issues related Snakes/Birds/Monkeys,Marappana Palya
Health Dept,Air/Noise pollution,Dayananda Nagar
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,Madiwala
Storm  Water Drain(SWD),Sewerage water left in SWD,Newthippasandra
Storm  Water Drain(SWD),Maintenance of SWD,Kodigehalli
Lakes,Lake not maintained properly,Bilekahalli
Revenue Department,Khata Services (Registration, Transfer, Bifurcation and Amalgamation),Devasandra
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,Marappana Palya
Property Tax services,Property tax owner name not updated,Uttarahalli
Revenue Department,Khata Services (Registration, Transfer, Bifurcation and Amalgamation),Subedarapalya
E khata / Khata services,Khata / Ekhata mutation / transfer,Bilekahalli
Revenue Department,Khata Services (Registration, Transfer, Bifurcation and Amalgamation),H.M.T
Revenue Department,Others (JC),Vignana Nagar
Forest,Issues related Snakes/Birds/Monkeys,Shanthala Nagar
Road Maintenance(Engg),footpath encroachment,Yelachenahalli
Health Dept,Spraying,Ejipura
Property Tax services,unable to generate property tax challan,Mathikere
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Sri Nagar
Storm  Water Drain(SWD),Maintenance of SWD,Singasandra
Road Infrastructure,Road Infrastructure,Shiva Nagar
Revenue Department,Others (JC),Jalahalli
Road Maintenance(Engg),Road cutting,Bagalagunte
veterinary,Fatally injured - Needs immediate attention,Agaram
E khata / Khata services,Ekhata Area Correction,HSR Layout
veterinary,Fatally injured - Needs immediate attention,Vannarpet
E khata / Khata services,Ekhata - name correction,Dattathreya Temple
Health Dept,Dengue positive,Kacharakanahalli
E khata / Khata services,Ekhata Area Correction,Chokkasandra
veterinary,Animal Rescue - Not well - Requires attention,Hegganahalli
veterinary,Animal Rescue - Not well - Requires attention,Gayathri Nagar
Electrical,Open Electrical Junction Box,Shiva Nagar
Revenue Department,Khata Services (Registration, Transfer, Bifurcation and Amalgamation),Chokkasandra
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,J.P.Nagar
E khata / Khata services,Ekhata - name correction,Konanakunte
Health Dept,Fogging,Konena Agrahara
E khata / Khata services,ekhata approval pending with ARO,Hoysala Nagar
Road Maintenance(Engg),footpath encroachment,Konena Agrahara
Revenue Department,Discrepancy In Khata Certificate and Khata Extract,Nagapura
Parks and Play grounds,Issues Related to Parks/Medians/Circles/Island.,Binnipet
E khata / Khata services,Ekhata missing in online,Shakambari Nagar
Parks and Play grounds,Gym/Children Play equipment in the parks,Sarakki
Sanitation,Public toilet(s) blockage,Jnanabharathi Ward
veterinary,Stray cattle related complaints,Nagarabhavi
E khata / Khata services,Ekhata Area Correction,Gottigere
Revenue Department,Discrepancy In Khata Certificate and Khata Extract,Rajarajeshwari Nagar
Solid Waste (Garbage) Related,Sweeping not done,Jayamahal
Advertisement,Flex and banners,HAL Airport
E khata / Khata services,Ekhata missing in online,A.Narayanapura
Town Planning,Noise during Building Construction,Singasandra
Electrical,Street Lights Switched On During Day Time,Hoysala Nagar
ಸಹಾಯಕ ಕಂದಾಯ ಅದಿಕಾರಿ ಕೆಂಗೇರಿ ಉಪ ವಿಭಾಗಕ್ಕೆ ಬೇಟಿ ನೀಡಿ ಇ-ಖಾತಾ ಪಡೆಯಲು ಮತ್ತು ಸಂಬಂಧಪಟ್ಟ ಮಾಹಿತಿ ಪಡೆಯಲು ಈ ಮೂಲಕ ತಿಳಿಸಲಾಗಿದೆ,Lokamatha /RO,,
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Shettyhalli
veterinary,Street dogs attacking-pet Dogs,Byatarayanapura
Sanitation,Urination in Public/Open Defecation,Deepanjali Nagar
Forest,Removal of dead/fallen trees,Basavanapura
Parks and Play grounds,Environmental protection,Bilekahalli
Traffic Engineer Cell (TEC),TEC,Marathalli
Solid Waste (Garbage) Related,Complaint against SW collector/ SWM official for violation of SWM Rules,Ganeshmandira Ward
Revenue Department,Unable to Generate the receipt after property tax payment.,Jagajeevanram Nagar
Others,Others,Jaraganahalli
Parks and Play grounds,Gym/Children Play equipment in the parks,Sagayapuram
Health Dept,Increase in mosquito density,Vijanapura
Road Maintenance(Engg),Road cutting,Jayachamarajendra Nagar
Road Maintenance(Engg),water stagnation,Agaram
Revenue Department,Unable to generate the property tax challan,Benniganahalli
veterinary,Animal Rescue - Not well - Requires attention,Shakambari Nagar
Solid Waste (Garbage) Related,Complaint against SW collector/ SWM official for violation of SWM Rules,Banashankari Temple Ward
veterinary,Fatally injured - Needs immediate attention,Ganeshmandira Ward
Health Dept,Fogging,Mathikere
Health Dept,Increase in mosquito density,Madiwala
Revenue Department,Discrepancy In Khata Certificate and Khata Extract,Dodda Bidarkallu
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,BTM Layout
Health Dept,Increase in mosquito density,A.Narayanapura
Town Planning,UnAuthorised Building Constructions,Kengeri
E khata / Khata services,Ekhata in previous owner name,Arakere
E khata / Khata services,ekhata approval pending with ARO,C.V.Raman Nagar
Property Tax services,unable to generate property tax challan,Hagadooru
Property Tax services,Property tax refund / adjustment,Hagadooru
Property Tax services,Property tax owner name not updated,Horamavu
Electrical,Requirement For New Street Lights,HAL Airport
E khata / Khata services,Ekhata - name correction,J.P.Nagar
E khata / Khata services,new Khata / Ekhata registration / creation,Garudacharpalya
Road Maintenance(Engg),Footpath,Chalavadipalya
E khata / Khata services,Ekhata - name correction,Manorayanapalya
E khata / Khata services,ekhata approval pending with ARO,Sri Rammandira
Revenue Department,Discrepancy In Khata Certificate and Khata Extract,Herohalli
E khata / Khata services,Khata / Ekhata mutation / transfer,Arakere
Health Dept,Dengue positive,Jaraganahalli
E khata / Khata services,Ekhata - name correction,Puttenahalli
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,Kaveripura
E khata / Khata services,Ekhata missing in online,Shanthi Nagar
E khata / Khata services,Technical Issue In Ekhata,Cottonpet
Property Tax services,Unable to generate receipt after property tax payment,Radhakrishna Temple
Water Crisis,Water related issue,Vannarpet
Health Dept,Zonal Violation of the Building,Bellandur
Road Maintenance(Engg),water stagnation,Kumaraswamy Layout
Revenue Department,Unable to Generate the receipt after property tax payment.,HBR Layout
veterinary,Anti Rabies Vaccination of stray dogs,Attiguppe
Indira Canteen,Food Quality,J.P.Park
Road Maintenance(Engg),Road cutting,Kempegowda Ward
Storm  Water Drain(SWD),Garbage thrown in storm water drain,Garudacharpalya
Projects Central,Road furnitures,Kempegowda Ward
Health Dept,Increase in mosquito density,Gangenahalli
Revenue Department,Unable to generate the property tax challan,Vignana Nagar
Road Maintenance(Engg),Footpath,Padarayanapura
Call Center,Call center Issues,Rajarajeshwari Nagar
Road Maintenance(Engg),Debris Removal / Construction Material,Agrahara Dasarahalli
Storm  Water Drain(SWD),Sewerage water left in SWD,C.V.Raman Nagar
Solid Waste (Garbage) Related,Garbage nuisance while transporting,K.R.Puram
E khata / Khata services,Ekhata missing in online,Bilekahalli
veterinary,Stray dog related complaints,Hosahalli
Road Maintenance(Engg),UnAuthorised Constructions,Shakambari Nagar
Revenue Department,Khata Services (Registration, Transfer, Bifurcation and Amalgamation),Kacharakanahalli
Revenue Department,Unable to Generate the receipt after property tax payment.,Uttarahalli
Solid Waste (Garbage) Related,Dead animal(s),Banashankari Temple Ward
Road Maintenance(Engg),Debris Removal / Construction Material,Neelasandra
Revenue Department,Unable to generate the property tax challan,Kuvempu Nagar
Sanitation,Public toilet(s) blockage,Shanthala Nagar
veterinary,Animal birth control/neutering of stray dogs,Hongasandra
veterinary,Illegal pet shop / Animal cruelty / license check,Bharathi Nagar
veterinary,Dog, cat Poor conditions / Breeding license validation,Basavanapura
E khata / Khata services,Ekhata Other corrections,Banashankari Temple Ward
Solid Waste (Garbage) Related,Complaint against SW collector/ SWM official for violation of SWM Rules,Mallasandra
Solid Waste (Garbage) Related,Garbage nuisance while transporting,A.Narayanapura
E khata / Khata services,Ekhata - name correction,Benniganahalli
Sanitation,Public toilet(s) blockage,Kavalbyrasandra
