Category,Sub Category,Ward Name
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,Azad Nagar
Health Dept,Air/Noise pollution,Konena Agrahara
Health Dept,Spraying,Mangammanapalya
veterinary,Dog, cat Poor conditions / Breeding license validation,Uttarahalli
veterinary,Animal Cruelty/Ill-Treated / Abused,Kadugondanahalli
Parks and Play grounds,Play Grounds,Hagadooru
Water Crisis,Water related issue,Hanumantha Nagar
Health Dept,Air/Noise pollution,Garudacharpalya
veterinary,Animal birth control/neutering of stray dogs,Ganga Nagar
Parks and Play grounds,Gym/Children Play equipment in the parks,Pattabhiram Nagar
Road Maintenance(Engg),Overhanging cables,Hampi Nagar
Solid Waste (Garbage) Related,Sweeping not done,Vrushabhavati Nagar
Electrical,Street Lights Switched On During Day Time,Doddanekkundi
veterinary,Animal birth control/neutering of stray dogs,Nagarabhavi
Revenue Department,Discrepancy In Khata Certificate and Khata Extract,Visvesvarapuram
Indira Canteen,Food Quality,Herohalli
Call Center,Call center Issues,Binnipet
veterinary,Aged street dogs please take action,Kuvempu Nagar
Road Maintenance(Engg),Footpath,Anjanapur
Health Dept,Spraying,Jagajeevanram Nagar
Forest,obstructions Branches / Trees.,Jaraganahalli
Town Planning,Construction not done as per approved plan (Building Bye Law Violations),Sri Rammandira
Advertisement,Unsafe Hoardings,Hoodi
Road Maintenance(Engg),Footpath,Kuvempu Nagar
Electrical,Park Lights Not Working,Kuvempu Nagar
Parks and Play grounds,Issues Related to Parks/Medians/Circles/Island.,Marenahalli
Electrical,Park Lights Not Working,Kumaraswamy Layout
Health Dept,Spraying,Byatarayanapura
Water Crisis,Water related issue,Koramangala
Advertisement,Flex and banners,Hoodi
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,Chamrajpet
Advertisement,Unsafe Hoardings,Aramane Nagar
Solid Waste (Garbage) Related,Dead animal(s),Chikkalasandra
Indira Canteen,Food Quality,Rajarajeshwari Nagar
Parks and Play grounds,Environmental protection,Basavanagudi
Health Dept,Increase in mosquito density,Mathikere
E khata / Khata services,Ekhata in previous owner name,Shettyhalli
Electrical,Street Lights Switched On During Day Time,Jayanagar East
Revenue Department,Unable to Generate the receipt after property tax payment.,Hongasandra
veterinary,Awareness session / Request for a session,J.P.Nagar
veterinary,Pet dog licence,Uttarahalli
veterinary,Stray dog related complaints,K.R.Market
Water Crisis,Water related issue,Hagadooru
Advertisement,Unsafe Hoardings,Vijay Nagar
E khata / Khata services,eKhata - name Mismatch,Vishwanathnagenahalli
veterinary,shifting of the street dogs to other places,Ganeshmandira Ward
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,Hoysala Nagar
Road Maintenance(Engg),water leakage on road,Rajagopala Nagar
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,Shettyhalli
Solid Waste (Garbage) Related,Public dustbins not cleaned,Chalavadipalya
veterinary,Aged street dogs please take action,Ulsoor
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,Mahalakshmipuram
veterinary,"Pet licensing / Pet shop licensing  / Breeder licensing ",Marathalli
Electrical,Earthing Issue relate to Electric Poles/Panel Boards,Jalahalli
E khata / Khata services,Ekhata Area Correction,Herohalli
Storm  Water Drain(SWD),Garbage thrown in storm water drain,Kengeri
Road Maintenance(Engg),Debris Removal / Construction Material,Gayathri Nagar
Health Dept,Birth & Death Registration,T-Dasarahalli
Health Dept,Zonal Violation of the Building,Uttarahalli
Health Dept,Birth & Death Registration,Thanisandra
Electrical,Open Electrical Junction Box,Domlur
Road Maintenance(Engg),UnAuthorised Constructions,Ganeshmandira Ward
E khata / Khata services,new Khata / Ekhata registration / creation,Jakkur
veterinary,Anti Rabies Vaccination of stray dogs,Vidyaranyapura
veterinary,Animal birth control/neutering of stray dogs,Kammanahalli
Road Maintenance(Engg),Road cutting,Yelahanka old Satellite Town
veterinary,Animal Rescue - Not well - Requires attention,Jayanagar East
Electrical,Open Electrical Junction Box,Dayananda Nagar
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,Laggere
Advertisement,Flex and banners,Shakambari Nagar
veterinary,Animal caught disease post surgery,Subedarapalya
E khata / Khata services,Technical Issue In Ekhata,Kengeri
Health Dept,Fogging,Jalahalli
E khata / Khata services,Ekhata - name correction,Okalipuram
Road Maintenance(Engg),Footpath,Vijanapura
Water Crisis,Water related issue,Nandini Layout
veterinary,Stray cattle related complaints,Sarvagna Nagar
veterinary,Dog, cat Poor conditions / Breeding license validation,Hebbal
Road Maintenance(Engg),Debris Removal / Construction Material,Rayapuram
E khata / Khata services,Khata / Ekhata mutation / transfer,Bagalagunte
E khata / Khata services,ekhata approval pending with ARO,Hanumantha Nagar
Road Maintenance(Engg),Footpath,Jayachamarajendra Nagar
Water Crisis,Water related issue,Singasandra
Property Tax services,unable to generate property tax challan,J.P.Nagar
Road Maintenance(Engg),Debris Removal / Construction Material,Padarayanapura
Others,Others,Maruthi Seva Nagar
veterinary,Stray/Rabid dog bite,BTM Layout
Property Tax services,Property tax owner name not updated,Karisandra
E khata / Khata services,Ekhata Other corrections,BTM Layout
ಸಹಾಯಕ ಕಂದಾಯ ಅದಿಕಾರಿ,ಕಛೇರಿಗೆ ಬೇಟಿಯಾಗಿ ಸಂಬಂಧಪಟ್ಟ ಅಧಿಕಾರಿಗಳಿಗೆ ತಿದ್ದುಪಡಿ ಮಾಡಲು ಅರ್ಜಿಸಲ್ಲಿಸಿ ಸರಿಪಡಿಸಿಕೊಳ್ಳಲು ಈ ಮೂಲಕ ತಿಳಿಸಲಾಗಿದೆ.,Lokamatha /RO,
veterinary,Animal Cruelty/Relocated,Sri Rammandira
Parks and Play grounds,Issues Related to Parks/Medians/Circles/Island.,Hebbal
Road Maintenance(Engg),footpath encroachment,Bapuji Nagar
Revenue Department,Others (JC),Bellandur
Road Maintenance(Engg),Road cutting,Jaraganahalli
Revenue Department,Khata Services (Registration, Transfer, Bifurcation and Amalgamation),Gottigere
Property Tax services,Unable to generate receipt after property tax payment,Maruthi Seva Nagar
Property Tax services,Other property tax issues,Puttenahalli
veterinary,Animal caught disease post surgery,Horamavu
Traffic Engineer Cell (TEC),TEC,Hoysala Nagar
Water Crisis,Water related issue,Aramane Nagar
veterinary,Dog, cat Poor conditions / Breeding license validation,Sri Rammandira
E khata / Khata services,Ekhata Other corrections,Shakthiganapathi Nagar
Solid Waste (Garbage) Related,Sweeping not done,Shakthiganapathi Nagar
Solid Waste (Garbage) Related,Complaint against SW collector/ SWM official for violation of SWM Rules,Kumaraswamy Layout
Advertisement,Flex and banners,Chikkalasandra
Indira Canteen,Staff Related,Kodigehalli
Health Dept,Fogging,Ejipura
veterinary,Street dog Adaptation process details,Katriguppe
Indira Canteen,Water quality,Vidyaranyapura
Solid Waste (Garbage) Related,Sweeping not done,Gangenahalli
Electrical,Open Electrical Junction Box,Nagarabhavi
Electrical,Open Electrical Junction Box,Kuvempu Nagar
Health Dept,Increase in mosquito density,Vishwanathnagenahalli
Electrical,Earthing Issue relate to Electric Poles/Panel Boards,Nagapura
Advertisement,Flex and banners,Sarakki
Advertisement,Flex and banners,J.P.Nagar
Road Maintenance(Engg),Road cutting,Subedarapalya
veterinary,Stray/Rabid dog bite,Shiva Nagar
Electrical,Earthing Issue relate to Electric Poles/Panel Boards,Subedarapalya
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,HSR Layout
E khata / Khata services,Ekhata Other corrections,Kempegowda Ward
Electrical,Street Lights Switched On During Day Time,Vasanthapura
Solid Waste (Garbage) Related,Sweeping not done,Shettyhalli
Others,Others,HAL Airport
Health Dept,Increase in mosquito density,Sunkenahalli
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Domlur
Storm  Water Drain(SWD),Garbage thrown in storm water drain,Kadugodi
veterinary,Stray/Rabid dog bite,Lingarajapuram
E khata / Khata services,Ekhata in previous owner name,Vasanthapura
E khata / Khata services,Technical Issue In Ekhata,Rayapuram
Property Tax services,Unable to generate receipt after property tax payment,Byatarayanapura
Property Tax services,Other property tax issues,Peenya Industrial Area
Health Dept,Non availability of vaccines,Sarvagna Nagar
veterinary,Stray/Rabid dog bite,Jayanagar East
veterinary,Street dog Adaptation process details,Nagarabhavi
Road Maintenance(Engg),Footpath,Kamakshipalya
Traffic Engineer Cell (TEC),TEC,Subhash Nagar
veterinary,Stray dog related complaints,Jayangar
Town Planning,Construction not done as per approved plan (Building Bye Law Violations),Padarayanapura
3rd Block,BDA Layout,Naagarabhaavi
public parks are to remain open until 7:30 PM to ensure accessibility for all citizens. However,Zen Park continues to be closed by 10:00 AM,there has been no change
Road Maintenance(Engg),water leakage on road,C.V.Raman Nagar
E khata / Khata services,Ekhata missing in online,Kammanahalli
Water Crisis,Water related issue,Dayananda Nagar
Water Crisis,Water related issue,Cottonpet
veterinary,Anti Rabies Vaccination of stray dogs,Yelachenahalli
Revenue Department,Discrepancy In Khata Certificate and Khata Extract,Bommanahalli
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,Siddapura
veterinary,shifting of the street dogs to other places,Banaswadi
E khata / Khata services,Ekhata - name correction,Hongasandra
E khata / Khata services,Other Khata / ekhata issues,Deepanjali Nagar
Revenue Department,Unable to Generate the receipt after property tax payment.,Rajarajeshwari Nagar
veterinary,Request for New feeder Points,Vignana Nagar
Forest,Removal of dead/fallen trees,Padarayanapura
veterinary,shifting of the street dogs to other places,Garudacharpalya
Parks and Play grounds,Issues Related to Parks/Medians/Circles/Island.,Kodigehalli
Electrical,Park Lights Not Working,Someshwara
Revenue Department,Unable to generate the property tax challan,Jnanabharathi Ward
Electrical,Earthing Issue relate to Electric Poles/Panel Boards,Manorayanapalya
Health Dept,Increase in mosquito density,Sagayapuram
veterinary,Fatally injured - Needs immediate attention,Manorayanapalya
Health Dept,Unhygienic  premises in hospital,Bellandur
Lakes,Lake not maintained properly,Kodigehalli
Health Dept,Increase in mosquito density,Konena Agrahara
Storm  Water Drain(SWD),Sewerage water left in SWD,Sagayapuram
Health Dept,Increase in mosquito density,Byatarayanapura
Town Planning,Noise during Building Construction,Ullalu
Estate,Violation of rules by property Leasers,Kaveripura
Electrical,Park Lights Not Working,Gali Anjaneya Swamy Temple Ward
Parks and Play grounds,Environmental protection,Padmanabha Nagar
Revenue Department,Others (JC),Thanisandra
E khata / Khata services,Ekhata Area Correction,Shanthala Nagar
E khata / Khata services,Ekhata Area Correction,Shanthi Nagar
Health Dept,Spraying,Sagayapuram
Parks and Play grounds,Environmental protection,Vidyapeetha
E khata / Khata services,Ekhata Other corrections,Jayangar
E khata / Khata services,ekhata approval pending with ARO,Chowdeshwari Ward
E khata / Khata services,Ekhata Area Correction,Vignana Nagar
Road Maintenance(Engg),UnAuthorised Constructions,HAL Airport
E khata / Khata services,Technical Issue In Ekhata,Madiwala
E khata / Khata services,Ekhata in previous owner name,Jnanabharathi Ward
Sanitation,Public toilet(s) blockage,Vishwanathnagenahalli
Road Maintenance(Engg),water leakage on road,Kammanahalli
Water Crisis,Water related issue,Hosakerehalli
Forest,Issues related Snakes/Birds/Monkeys,Hebbal
E khata / Khata services,eKhata - name Mismatch,Hemmigepura
Road Infrastructure,Road Infrastructure,Kushal Nagar
veterinary,Animal Surgery gone wrong,Thanisandra
veterinary,Animal caught disease post surgery,Rajarajeshwari Nagar
Health Dept,Unhygienic premises in Hotel etc,HSR Layout
veterinary,Stray/Rabid dog bite,Someshwara
Forest,Issues related Snakes/Birds/Monkeys,Manorayanapalya
E khata / Khata services,Ekhata missing in online,Gandhi Nagar
Property Tax services,Other property tax issues,Vignana Nagar
E khata / Khata services,Do not issue ekhata,Gottigere
Health Dept,Increase in mosquito density,Sri Nagar
Solid Waste (Garbage) Related,Public dustbins not cleaned,Ganga Nagar
E khata / Khata services,Ekhata Other corrections,Marappana Palya
Parks and Play grounds,Play Grounds,Basavanagudi
E khata / Khata services,Other Khata / ekhata issues,BTM Layout
Call Center,Call center Issues,Jakkur
E khata / Khata services,ekhata approval pending with ARO,Binnipet
veterinary,Stray/Rabid dog bite,Subedarapalya
Electrical,Street Lights Switched On During Day Time,Sampangiram Nagar
Parks and Play grounds,Gym/Children Play equipment in the parks,Kadugondanahalli
Welfare Schemes,Issues Regarding SC/ST Schemes.,Arakere
Parks and Play grounds,Issues Related to Parks/Medians/Circles/Island.,Rajaji Nagar
Parks and Play grounds,Inspection not done,HSR Layout
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,Mangammanapalya
veterinary,Anti Rabies Vaccination of stray dogs,Vijay Nagar
Storm  Water Drain(SWD),Garbage thrown in storm water drain,Bharathi Nagar
Advertisement,Flex and banners,Koramangala
Solid Waste (Garbage) Related,Complaint against SW collector/ SWM official for violation of SWM Rules,Yeshwanthpur
veterinary,Anti Rabies Vaccination of stray dogs,Bagalagunte
Road Infrastructure,Road Infrastructure,Manorayanapalya
Education,Infrastructure related Issues.,Nagavara
veterinary,Stray/Rabid dog bite,Sri Nagar
Sanitation,Public toilet(s) blockage,Ramamurthy Nagar
Health Dept,Delay in issue of Trade licence,HSR Layout
veterinary,Anti Rabies Vaccination of stray dogs,Hebbal
EPID ನಂಬರ್ ಲಗತ್ತಿಸಲು ಈ ಮೂಲಕ ತಿಳಿಸಲಾಗಿದೆ.,Lokamatha /RO,,
Property Tax services,Other property tax issues,Deepanjali Nagar
E khata / Khata services,Ekhata in previous owner name,Chikpete
veterinary,Animal caught disease post surgery,Nagavara
Health Dept,Dengue positive,Nagarabhavi
E khata / Khata services,ekhata approval pending with ARO,Bommanahalli
Solid Waste (Garbage) Related,Dead animal(s),Hebbal
E khata / Khata services,Do not issue ekhata,Singasandra
Electrical,Open Electrical Junction Box,Benniganahalli
E khata / Khata services,Do not issue ekhata,Koramangala
E khata / Khata services,ekhata approval pending with ARO,Okalipuram
Property Tax services,Other property tax issues,Herohalli
Sanitation,Urination in Public/Open Defecation,HBR Layout
Advertisement,Flex and banners,Dodda Bidarkallu
E khata / Khata services,Do not issue ekhata,Giri Nagar
E khata / Khata services,ekhata approval pending with ARO,Subhash Nagar
Solid Waste (Garbage) Related,Public dustbins not cleaned,Ulsoor
Property Tax services,Other property tax issues,Dodda Bidarkallu
E khata / Khata services,Other Khata / ekhata issues,Yeshwanthpur
Lakes,Sewage inflow to lake,K.R.Puram
Sanitation,Public toilet(s) blockage,Padmanabha Nagar
E khata / Khata services,Other Khata / ekhata issues,Hegganahalli
Road Maintenance(Engg),Potholes,Rajaji Nagar
veterinary,Animal caught disease post surgery,Singasandra
Revenue Department,Others (JC),Horamavu
Health Dept,Fogging,Jagajeevanram Nagar
veterinary,Stray/Rabid dog bite,Mahalakshmipuram
Property Tax services,unable to generate property tax challan,Herohalli
Property Tax services,Other property tax issues,Maruthi Seva Nagar
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,Vijanapura
E khata / Khata services,Other Khata / ekhata issues,Basavanapura
Road Maintenance(Engg),Footpath,Subedarapalya
veterinary,Stray/Rabid dog bite,Gangenahalli
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,Dattathreya Temple
Solid Waste (Garbage) Related,Segregation of waste is not done,Begur
E khata / Khata services,ekhata approval pending with ARO,Devasandra
veterinary,Fatally injured - Needs immediate attention,Shakambari Nagar
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Cottonpet
Solid Waste (Garbage) Related,Complaint against SW collector/ SWM official for violation of SWM Rules,Dr.Rajkumar Ward
Electrical,Street Lights Switched On During Day Time,Shanthala Nagar
veterinary,Animal Rescue - Not well - Requires attention,Agaram
Solid Waste (Garbage) Related,Sweeping not done,Sudduguntepalya
Solid Waste (Garbage) Related,Public dustbins not cleaned,Jayangar
Storm  Water Drain(SWD),Garbage thrown in storm water drain,Shettyhalli
Others,Others,Yeshwanthpur
Others,Others,Shiva Nagar
Storm  Water Drain(SWD),Garbage thrown in storm water drain,K.R.Puram
Health Dept,Spraying,Hebbal
veterinary,Stray/Rabid dog bite,Chowdeshwari Ward
Storm  Water Drain(SWD),Sewerage water left in SWD,Yelahanka old Satellite Town
Electrical,Street Lights Switched On During Day Time,Kumaraswamy Layout
Health Dept,Air/Noise pollution,Sanjay Nagar
veterinary,Stray/Rabid dog bite,Binnipet
Health Dept,Fogging,Hosakerehalli
Sanitation,Public toilet(s) blockage,Bagalagunte
Road Maintenance(Engg),Road cutting,Malleshwaram
E khata / Khata services,ekhata approval pending with ARO,Sunkenahalli
Sanitation,Urination in Public/Open Defecation,Konanakunte
Road Maintenance(Engg),Overhanging cables,Bellandur
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Marathalli
Solid Waste (Garbage) Related,Garbage nuisance while transporting,Bharathi Nagar
Health Dept,Air/Noise pollution,Thanisandra
Call Center,Call center Issues,Kengeri
veterinary,Fatally injured - Needs immediate attention,Radhakrishna Temple
Road Maintenance(Engg),UnAuthorised Constructions,Katriguppe
Health Dept,Dengue positive,Chikkalasandra
Revenue Department,Others (JC),Byatarayanapura
Traffic Engineer Cell (TEC),TEC,Kottigepalya
Revenue Department,Unable to generate the property tax challan,Attiguppe
Road Maintenance(Engg),footpath encroachment,Shiva Nagar
E khata / Khata services,Ekhata missing in online,Kushal Nagar
veterinary,Stray dog related complaints,Kamakshipalya
Indira Canteen,Food Quantity,BTM Layout
Sanitation,Public toilet(s) blockage,Maruthi Mandira Ward
Revenue Department,Discrepancy In Khata Certificate and Khata Extract,Benniganahalli
Solid Waste (Garbage) Related,Segregation of waste is not done,Banaswadi
E khata / Khata services,Technical Issue In Ekhata,Pattabhiram Nagar
E khata / Khata services,Technical Issue In Ekhata,Jayangar
Health Dept,Increase in mosquito density,Newthippasandra
Traffic Engineer Cell (TEC),TEC,Hemmigepura
Property Tax services,Property tax owner name not updated,Jnanabharathi Ward
Electrical,Requirement For New Street Lights,Pattabhiram Nagar
Revenue Department,Unable to generate the property tax challan,Maruthi Mandira Ward
Health Dept,Air/Noise pollution,Kengeri
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,Jayanagar East
Road Maintenance(Engg),Potholes,Rajagopala Nagar
Parks and Play grounds,Issues Related to Parks/Medians/Circles/Island.,Rajagopala Nagar
Indira Canteen,Food Quantity,Radhakrishna Temple
Town Planning,UnAuthorised Building Constructions,Bommanahalli
Indira Canteen,Staff Related,Shakthiganapathi Nagar
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,Bharathi Nagar
Solid Waste (Garbage) Related,Garbage nuisance while transporting,Shankaramata
Electrical,Street Lights Switched On During Day Time,Okalipuram
Electrical,Street Lights Switched On During Day Time,Chokkasandra
Parks and Play grounds,Gym/Children Play equipment in the parks,Ullalu
Traffic Engineer Cell (TEC),TEC,Varthur
Health Dept,Spraying,Rajagopala Nagar
Road Maintenance(Engg),Footpath,Kaveripura
veterinary,Stray dog related complaints,Ulsoor
Electrical,Earthing Issue relate to Electric Poles/Panel Boards,Hemmigepura
Electrical,Park Lights Not Working,Nagapura
Road Maintenance(Engg),footpath encroachment,Shakthiganapathi Nagar
Electrical,Park Lights Not Working,Hoodi
Estate,Payment/Rent issues,Radhakrishna Temple
veterinary,Mutton/Chicken/fish stall Unhygienic maintenance,Uttarahalli
Revenue Department,Unable to Generate the receipt after property tax payment.,Puttenahalli
Road Maintenance(Engg),Footpath,S.K.Garden
Sanitation,Urination in Public/Open Defecation,Malleshwaram
Advertisement,Flex and banners,Lakkasandra
so please apply to engineer department,Purushottam/ARO,,
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,Lakkasandra
Road Maintenance(Engg),Footpath,Dr.Rajkumar Ward
Electrical,Park Lights Not Working,Katriguppe
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,Sri Nagar
Projects Central,Drainage blockage,Kodigehalli
veterinary,Animal birth control/neutering of stray dogs,Sunkenahalli
Town Planning,Construction not done as per approved plan (Building Bye Law Violations),Herohalli
Electrical,Open Electrical Junction Box,Jnanabharathi Ward
Road Maintenance(Engg),Footpath,Chokkasandra
Solid Waste (Garbage) Related,Dead animal(s),Vijay Nagar
Information Technology,Others(Technical or Software Issues),Bilekahalli
Health Dept,Increase in mosquito density,Vannarpet
Electrical,Park Lights Not Working,Sanjay Nagar
Health Dept,Increase in mosquito density,Basaveshwara Nagar
Parks and Play grounds,Play Grounds,Nagarabhavi
Health Dept,Increase in mosquito density,Chowdeshwari Ward
E khata / Khata services,ekhata approval pending with ARO,Hosakerehalli
E khata / Khata services,Ekhata missing in online,Doddabommasandra
ಸಹಾಯಕ ಕಂದಾಯ ಅದಿಕಾರಿ ಕೆಂಗೇರಿ ಉಪ ವಿಭಾಗ ರವರು ತಮ್ಮ ಅರ್ಜಿಯನ್ನು Approve ಮಾಡಿದ್ದಾರೆ ಪ್ರಸ್ತುತ ವರ್ಷದ ಕಂದಾಯ ವನ್ನು ಪಾಲಿಸಿ ಇ- ಖಾತಾ ಪಡೆಯಬಹುದು ಎಂದು ಈ ಮೂಲಕ ತಿಳಿಸಲಾಗಿದೆ. ವಂದನೆಗಳು,Lokamatha /RO,,
E khata / Khata services,Ekhata missing in online,Basavanagudi
E khata / Khata services,Ekhata Other corrections,Maruthi Seva Nagar
veterinary,shifting of the street dogs to other places,Yeshwanthpur
E khata / Khata services,Ekhata - name correction,Maruthi Seva Nagar
Solid Waste (Garbage) Related,Complaint against SW collector/ SWM official for violation of SWM Rules,Chalavadipalya
veterinary,shifting of the street dogs to other places,Chowdeshwari Ward
Parks and Play grounds,Issues Related to Parks/Medians/Circles/Island.,Ulsoor
Health Dept,Spraying,Chamrajpet
E khata / Khata services,Ekhata missing in online,Padarayanapura
Solid Waste (Garbage) Related,Complaint against SW collector/ SWM official for violation of SWM Rules,Sarvagna Nagar
Plastic,Use of banned single use plastic,Shanthala Nagar
E khata / Khata services,Ekhata missing in online,Shiva Nagar
veterinary,Dog, cat Poor conditions / Breeding license validation,Nandini Layout
E khata / Khata services,ekhata approval pending with ARO,Sarakki
Road Maintenance(Engg),water leakage on road,Koramangala
Health Dept,Air/Noise pollution,HBR Layout
Advertisement,Flex and banners,Hampi Nagar
Solid Waste (Garbage) Related,Sweeping not done,Moodalapalya
Road Maintenance(Engg),water stagnation,Bommanahalli
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,Radhakrishna Temple
Road Maintenance(Engg),water leakage on road,Kacharakanahalli
Solid Waste (Garbage) Related,Public dustbins not cleaned,Kuvempu Nagar
E khata / Khata services,Ekhata - name correction,Ramamurthy Nagar
Health Dept,Unhygienic premises in Hotel etc,Rajarajeshwari Nagar
Advertisement,Flex and banners,Sudduguntepalya
Solid Waste (Garbage) Related,Public dustbins not cleaned,Visvesvarapuram
Solid Waste (Garbage) Related,Complaint against SW collector/ SWM official for violation of SWM Rules,Ulsoor
Road Maintenance(Engg),Footpath,Arakere
Indira Canteen,Food Quantity,Shanthala Nagar
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Vrushabhavati Nagar
Road Maintenance(Engg),UnAuthorised Constructions,Radhakrishna Temple
Town Planning,Delay in issuing building permit,Uttarahalli
Others,Others,Jayachamarajendra Nagar
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,Kumaraswamy Layout
Call Center,others,Vasanthapura
Road Maintenance(Engg),UnAuthorised Constructions,Jayangar
Health Dept,Fogging,Basaveshwara Nagar
Parks and Play grounds,Gym/Children Play equipment in the parks,Radhakrishna Temple
veterinary,Animal Rescue - Not well - Requires attention,Shankaramata
Road Maintenance(Engg),Debris Removal / Construction Material,Devarajeevanahalli
veterinary,Animal Rescue - Not well - Requires attention,Shivaji Nagar
Health Dept,Spraying,Subramanya Nagar
Electrical,Earthing Issue relate to Electric Poles/Panel Boards,Vannarpet
E khata / Khata services,ekhata approval pending with ARO,Marappana Palya
Health Dept,Fogging,Adugodi
Forest,Issues related Snakes/Birds/Monkeys,Vasanthapura
Road Maintenance(Engg),UnAuthorised Constructions,Ganga Nagar
Property Tax services,Other property tax issues,Jayamahal
Road Maintenance(Engg),UnAuthorised Constructions,Marathalli
Electrical,Requirement For New Street Lights,Puttenahalli
Health Dept,Air/Noise pollution,Marathalli
Parks and Play grounds,Gym/Children Play equipment in the parks,Sri Rammandira
Health Dept,Zonal Violation of the Building,Jaraganahalli
Water Crisis,Water related issue,Puttenahalli
Forest,Issues related Snakes/Birds/Monkeys,Someshwara
Solid Waste (Garbage) Related,Garbage nuisance while transporting,Nagapura
E khata / Khata services,Ekhata - name correction,Dharmarayaswamy Temple Ward
Health Dept,Spraying,Vidyaranyapura
Road Maintenance(Engg),footpath encroachment,Sarvagna Nagar
veterinary,Animal caught disease post surgery,Bommanahalli
Electrical,Requirement For New Street Lights,Hosakerehalli
Storm  Water Drain(SWD),Garbage thrown in storm water drain,Kadugondanahalli
E khata / Khata services,Other Khata / ekhata issues,H.M.T
Health Dept,Fogging,Kamakshipalya
veterinary,Request for New feeder Points,Jnanabharathi Ward
Health Dept,Spraying,Nandini Layout
Water Crisis,Water related issue,Kodigehalli
Sanitation,Urination in Public/Open Defecation,Gottigere
Health Dept,Fogging,Gottigere
Road Maintenance(Engg),Road cutting,Kaveripura
Forest,Issues related Snakes/Birds/Monkeys,Vidyaranyapura
veterinary,Request for New feeder Points,Kengeri
veterinary,Awareness session / Request for a session,Kengeri
veterinary,Animal Cruelty/Relocated,Kengeri
Road Maintenance(Engg),Road cutting,Sarvagna Nagar
Solid Waste (Garbage) Related,Garbage nuisance while transporting,Ramamurthy Nagar
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,Karisandra
Solid Waste (Garbage) Related,Public dustbins not cleaned,Sarakki
veterinary,Street dogs attacking-pet Dogs,Jakkur
Lakes,Sewage inflow to lake,Garudacharpalya
veterinary,Pet dog licence,Chokkasandra
Town Planning,Noise during Building Construction,Chikpete
